timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1655379615009,2858,Op-7-ChangeTextureMaterial-4,200,OK,w3sd Workflow 1-4,text,true,,292,395,6,6,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,2858,1,0,0,1
1655379559655,58784,Op-7-ChangeTextureMaterial-1,200,OK,w3sd Workflow 1-1,text,true,,292,395,6,6,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,58784,1,0,0,1
1655379617867,3012,Op-8-GenerateAvatar-4,200,OK,w3sd Workflow 1-4,text,true,,292,364,6,6,http://192.168.0.87:5001/api/avatar,3012,1,0,0,0
1655379545301,75577,Workflow-User-4,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-4,,true,,3366,2383,6,6,null,75577,1,0,1,1
1655379618439,3057,Op-8-GenerateAvatar-1,200,OK,w3sd Workflow 1-1,text,true,,292,364,5,5,http://192.168.0.87:5001/api/avatar,3057,1,0,0,0
1655379545000,76494,Workflow-User-1,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-1,,true,,3366,2383,5,5,null,76494,1,0,2,2
1655379550894,73147,Op-4-HideElement-2,200,OK,w3sd Workflow 1-2,text,true,,292,424,4,4,http://192.168.0.87:5001/api/model/character.fbx/hide,73147,1,0,0,0
1655379615374,8997,Op-8-GenerateAvatar-6,200,OK,w3sd Workflow 1-6,text,true,,292,364,4,4,http://192.168.0.87:5001/api/avatar,8997,1,0,0,0
1655379545501,78870,Workflow-User-6,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-6,,true,,3366,2383,4,4,null,78870,1,0,0,2
1655379624040,2782,Op-5-ShowElement-2,200,OK,w3sd Workflow 1-2,text,true,,292,375,3,3,http://192.168.0.87:5001/api/model/character.fbx/show,2781,1,0,0,0
1655379545418,82301,Op-2-GetAnimations-5,200,OK,w3sd Workflow 1-5,text,true,,296,154,3,3,http://192.168.0.87:5001/api/model/character.fbx/animations,82301,1,0,0,0
1655379626822,3070,Op-6-ChangeTextureColor-2,200,OK,w3sd Workflow 1-2,text,true,,292,388,3,3,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,3070,1,0,0,0
1655379627718,2979,Op-3-GetItems-5,200,OK,w3sd Workflow 1-5,text,true,,1298,154,3,3,http://192.168.0.87:5001/api/model/character.fbx/assemblies,2979,1,0,0,0
1655379629893,2867,Op-7-ChangeTextureMaterial-2,200,OK,w3sd Workflow 1-2,text,true,,292,395,3,3,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,2867,1,0,0,0
1655379630697,3013,Op-4-HideElement-5,200,OK,w3sd Workflow 1-5,text,true,,292,424,3,3,http://192.168.0.87:5001/api/model/character.fbx/hide,3013,1,0,0,0
1655379632760,2898,Op-8-GenerateAvatar-2,200,OK,w3sd Workflow 1-2,text,true,,292,364,3,3,http://192.168.0.87:5001/api/avatar,2898,1,0,0,1
1655379545101,90555,Workflow-User-2,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-2,,true,,3366,2383,3,3,null,90554,1,0,3,2
1655379633710,3027,Op-5-ShowElement-5,200,OK,w3sd Workflow 1-5,text,true,,292,375,2,2,http://192.168.0.87:5001/api/model/character.fbx/show,3027,1,0,0,0
1655379545810,93632,Op-2-GetAnimations-9,200,OK,w3sd Workflow 1-9,text,true,,296,154,2,2,http://192.168.0.87:5001/api/model/character.fbx/animations,93632,1,0,0,0
1655379636737,2994,Op-6-ChangeTextureColor-5,200,OK,w3sd Workflow 1-5,text,true,,292,388,2,2,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2994,1,0,0,1
1655379639441,3030,Op-3-GetItems-9,200,OK,w3sd Workflow 1-9,text,true,,1298,154,2,2,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3030,1,0,0,1
1655379639731,3063,Op-7-ChangeTextureMaterial-5,200,OK,w3sd Workflow 1-5,text,true,,292,395,2,2,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3063,1,0,0,0
1655379642471,2924,Op-4-HideElement-9,200,OK,w3sd Workflow 1-9,text,true,,292,424,2,2,http://192.168.0.87:5001/api/model/character.fbx/hide,2924,1,0,0,1
1655379642794,2860,Op-8-GenerateAvatar-5,200,OK,w3sd Workflow 1-5,text,true,,292,364,2,2,http://192.168.0.87:5001/api/avatar,2860,1,0,0,0
1655379545401,100254,Workflow-User-5,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-5,,true,,3366,2383,2,2,null,100254,1,0,0,1
1655379645395,2761,Op-5-ShowElement-9,200,OK,w3sd Workflow 1-9,text,true,,292,375,1,1,http://192.168.0.87:5001/api/model/character.fbx/show,2761,1,0,0,0
1655379648157,2657,Op-6-ChangeTextureColor-9,200,OK,w3sd Workflow 1-9,text,true,,292,388,1,1,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2657,1,0,0,0
1655379650814,2704,Op-7-ChangeTextureMaterial-9,200,OK,w3sd Workflow 1-9,text,true,,292,395,1,1,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,2704,1,0,0,1
1655379653518,2711,Op-8-GenerateAvatar-9,200,OK,w3sd Workflow 1-9,text,true,,292,364,1,1,http://192.168.0.87:5001/api/avatar,2711,1,0,0,0
1655379545800,110429,Workflow-User-9,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-9,,true,,3366,2383,1,1,null,110429,1,0,1,4
