Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-8-GenerateAvatar-5,1,3322,3322,3322,3322,3322,3322,3322,0.000%,.30102,0.09,0.11
Workflow-User-5,1,328629,328629,328629,328629,328629,328629,328629,0.000%,.00304,0.01,0.01
Op-4-HideElement-44,1,43673,43673,43673,43673,43673,43673,43673,0.000%,.02290,0.01,0.01
Op-6-ChangeTextureColor-15,1,50719,50719,50719,50719,50719,50719,50719,0.000%,.01972,0.01,0.01
Op-5-ShowElement-44,1,3342,3342,3342,3342,3342,3342,3342,0.000%,.29922,0.09,0.11
Op-4-HideElement-26,1,200853,200853,200853,200853,200853,200853,200853,0.000%,.00498,0.00,0.00
Op-5-ShowElement-26,1,3248,3248,3248,3248,3248,3248,3248,0.000%,.30788,0.09,0.11
Op-7-ChangeTextureMaterial-31,1,234259,234259,234259,234259,234259,234259,234259,0.000%,.00427,0.00,0.00
Op-2-GetAnimations-27,1,341190,341190,341190,341190,341190,341190,341190,0.000%,.00293,0.00,0.00
Op-2-GetAnimations-43,1,341128,341128,341128,341128,341128,341128,341128,0.000%,.00293,0.00,0.00
Op-8-GenerateAvatar-31,1,6429,6429,6429,6429,6429,6429,6429,0.000%,.15555,0.04,0.06
Workflow-User-31,1,344419,344419,344419,344419,344419,344419,344419,0.000%,.00290,0.01,0.01
Op-3-GetItems-43,1,3478,3478,3478,3478,3478,3478,3478,0.000%,.28752,0.36,0.04
